货品名称,品牌,生产企业,用途分类,ser,产品分类,产品系列,口味分类,净含量,箱规,单位
傲滋有机营养米粉淮山薏米225g,1,1,1,1.1,米粉,经典,淮山薏米,225,24,盒
傲滋有机米饼-地瓜胡萝卜味36g,1,7,1,7.1,零食,米饼,地瓜胡萝卜,36,24,盒
傲滋有机营养米粉钙铁锌225g,1,1,1,1.1,米粉,经典,钙铁锌,225,24,盒
傲滋雪梨宝清宁固体饮料盒装6g*26袋,1,3,1,3.1,粉剂,宝清宁,雪梨,156,24,盒
傲滋有机汤米粉钙铁锌320g,1,1,1,1.2,米粉,汤米粉,钙铁锌,320,12,罐
傲滋有机营养米粉钙铁锌225g(不加蔗糖),1,1,1,1.1,米粉,无糖,钙铁锌,225,24,盒
傲滋有机营养米粉燕麦南瓜225g,1,1,1,1.1,米粉,经典,燕麦南瓜,225,24,盒
傲滋有机营养面片胡萝卜210g,1,2,1,2.3,面条,面片,胡萝卜,210,24,盒
傲滋有机汤米粉缤纷水果320g,1,1,1,1.2,米粉,汤米粉,缤纷水果,320,12,罐
傲滋有机营养米粉胡萝卜225g(不加蔗糖),1,1,1,1.1,米粉,无糖,胡萝卜,225,24,盒
傲滋有机营养米粉复合维生素225g,1,1,1,1.1,米粉,经典,复合维生素,225,24,盒
傲滋有机营养米粉纯米粉400g,1,1,1,1.2,米粉,经典,纯米粉,400,12,罐
傲滋有机米饼-蓝莓枸杞味36g,1,7,1,7.1,零食,米饼,蓝莓枸杞,36,24,盒
傲滋有机营养米粉高蛋白400g,1,1,1,1.2,米粉,经典,高蛋白,400,12,罐
傲滋有机汤米粉原味320g,1,1,1,1.2,米粉,汤米粉,原味,320,12,罐
傲滋有机汤米粉原味160g,1,1,1,1.1,米粉,汤米粉,原味,160,24,盒
傲滋有机营养米粉纯米粉225g,1,1,1,1.1,米粉,经典,纯米粉,225,24,盒
傲滋有机营养米粉胡萝卜400g,1,1,1,1.2,米粉,经典,胡萝卜,400,12,罐
傲滋有机营养蝴蝶面原味210g,1,2,1,2.2,面条,蝴蝶面,原味,210,24,盒
傲滋乳钙凝胶糖果1.4克*30粒,1,4,1,4.3,糖果,钙,乳钙,42,36,盒
傲滋有机营养面胡萝卜225g,1,2,1,2.1,面条,直面,胡萝卜,225,24,盒
彤臻有机营养面猪肝菠菜250g,2,2,1,0,面条,直面,猪肝菠菜,250,24,盒
傲滋DHA藻油试用装2粒,1,4,0,0,糖果,糖果,DHA,0.15,1200,袋
彤臻有机营养面原味250g,2,2,1,0,面条,直面,原味,250,24,盒
傲滋有机营养米粉双岐因子225g(不加蔗糖),1,1,1,1.1,米粉,无糖,双歧因子,225,24,盒
傲滋乳钙凝胶糖果1.4克*45粒,99,99,99,99,糖果,钙,乳钙,63,36,盒
傲滋U哺有机营养米粉-原味180g,1,1,1,1.1,米粉,U哺,原味,180,24,盒
傲滋有机溶豆蓝莓味,1,5,1,5.1,零食,溶豆,蓝莓,16,36,盒
傲滋U哺有机营养米粉核桃粉320g,1,1,1,1.2,米粉,U哺,核桃粉,320,12,罐
傲滋U哺有机营养米粉DHA+ARA320g,1,1,1,1.2,米粉,U哺,DHA+ARA,320,12,罐
傲滋有机泡芙-香蕉味50克/瓶,1,6,1,6.1,零食,泡芙,香蕉,50,36,瓶
傲滋有机溶豆苹果味试用装2粒/袋,1,5,0,0,零食,溶豆,苹果,0.4,250,袋
傲滋有机泡芙-原味50克/瓶,1,6,1,6.1,零食,泡芙,原味,50,36,瓶
傲滋有机米饼-原味36g,1,7,1,7.1,零食,米饼,原,36,24,盒
傲滋U哺有机营养米粉-燕麦南瓜180g,1,1,1,1.1,米粉,U哺,燕麦南瓜,180,24,盒
彤臻有机营养面胡萝卜250g,2,2,1,0,面条,直面,胡萝卜,250,24,盒
傲滋有机营养米粉双歧因子400g,1,1,1,1.2,米粉,经典,双歧因子,400,12,罐
傲滋有机营养米粉钙铁锌400g,1,1,1,1.2,米粉,经典,钙铁锌,400,12,罐
傲滋有机营养面猪肝菠菜225g,1,2,1,2.1,面条,直面,猪肝菠菜,225,24,盒
傲滋有机营养面牛肉番茄225g,1,2,1,2.1,面条,直面,牛肉番茄,225,24,盒
傲滋原味宝清宁固体饮料盒装6g*26袋,1,3,1,3.1,粉剂,宝清宁,原味,156,24,盒
彤臻有机营养面牛肉番茄250g,2,2,1,0,面条,直面,牛肉番茄,250,24,盒
傲滋益生源益生菌固体饮料（乳双歧杆菌Bi-07）,1,9,1,9.1,粉剂,益生菌,乳双歧杆菌Bi-07,45,24,盒
傲滋有机营养米粉核桃粉400g,1,1,1,1.2,米粉,经典,核桃粉,400,12,罐
彤臻有机营养面鸡肉蘑菇250g,2,2,1,0,面条,直面,鸡肉蘑菇,250,24,盒
傲滋有机营养面原味225g,1,2,1,2.1,面条,直面,原味,225,24,盒
傲滋有机营养米粉双歧因子225g,1,1,1,1.1,米粉,经典,双歧因子,225,24,盒
傲滋有机营养蝴蝶面胡萝卜210g,1,2,1,2.2,面条,蝴蝶面,胡萝卜,210,24,盒
傲滋有机营养米粉高蛋白225g,1,1,1,1.1,米粉,经典,高蛋白,225,24,盒
傲滋有机营养米粉胡萝卜225g,1,1,1,1.1,米粉,经典,胡萝卜,225,24,盒
傲滋有机营养面鸡肉蘑菇225g,1,2,1,2.1,面条,直面,鸡肉蘑菇,225,24,盒
傲滋鳕鱼肝油软胶囊500mg*10粒*4板,1,8,1,8.1,糖果,糖果,鱼肝油,20,36,盒
傲滋有机小米粉钙铁锌300g,1,1,1,1.2,米粉,小米粉,钙铁锌,300,12,罐
傲滋有机营养米粉纯米粉225g(不加蔗糖),1,1,1,1.1,米粉,无糖,纯米粉,225,24,盒
傲滋有机溶豆原味,1,5,1,5.1,零食,溶豆,原,16,36,盒
傲滋DHA藻油凝胶糖果礼盒装0.75克*90粒,1,4,1,4.1,糖果,糖果,DHA,67.5,12,盒
傲滋有机汤米粉钙铁锌160g,1,1,1,1.1,米粉,汤米粉,钙铁锌,160,24,盒
傲滋草莓宝清宁固体饮料盒装6g*26袋,1,3,1,3.1,粉剂,宝清宁,草莓,156,24,盒
傲滋U哺有机营养米粉-原味320g,1,1,1,1.2,米粉,U哺,原味,320,12,罐
傲滋U哺有机营养米粉-胡萝卜180g,1,1,1,1.1,米粉,U哺,胡萝卜,180,24,盒
傲滋有机营养米粉核桃225g,1,1,1,1.1,米粉,经典,核桃粉,225,24,盒
傲滋有机营养面片原味210g,1,2,1,2.3,面条,面片,原味,210,24,盒
傲滋双歧因子米粉试用装10g,1,1,0,0,米粉,经典,双歧因子,10,200,袋
彤臻有机泡芙-香蕉味50克/瓶,2,6,1,0,零食,泡芙,香蕉,50,36,瓶
傲滋有机纯米试用装（无糖）10g,1,1,0,0,米粉,无糖,纯米粉,10,200,袋
傲滋纯米粉试用装10g,1,1,0,0,米粉,经典,纯米粉,10,200,袋
傲滋有机溶豆苹果味,1,5,1,5.1,零食,溶豆,苹果,16,36,盒
傲滋钙铁锌米粉试用装10g,1,1,0,0,米粉,经典,钙铁锌,10,200,袋
傲滋U哺有机营养米粉-双歧因子180g,1,1,1,1.1,米粉,U哺,双歧因子,180,24,盒
傲滋水苏糖固体饮料（罐）,1,1,1,1.2,粉剂,益生元,水苏糖,100,12,罐
傲滋有机营养米粉黑米红枣225g,1,1,1,1.1,米粉,经典,黑米红枣,225,24,盒
傲滋有机汤米粉缤纷水果160g,1,1,1,1.1,米粉,汤米粉,缤纷水果,160,24,盒
傲滋有机泡芙-DHA50克/瓶,1,6,1,6.1,零食,泡芙,DHA,50,36,瓶
傲滋有机营养米粉牛肉番茄225g,1,1,1,1.1,米粉,经典,牛肉番茄,225,24,盒
傲滋有机溶豆胡萝卜味,1,5,1,5.1,零食,溶豆,胡萝卜,16,36,盒
傲滋益生元葡萄糖5g*50袋,1,1,1,1.3,粉剂,益生元,葡萄糖,250,12,罐
傲滋有机汤米粉核桃莲子320g,1,1,1,1.2,米粉,汤米粉,核桃莲子,320,12,罐
傲滋有机汤米粉核桃莲子160g,1,1,1,1.1,米粉,汤米粉,核桃莲子,160,24,盒
傲滋U哺有机营养米粉-双歧因子320g,1,1,1,1.2,米粉,U哺,双歧因子,320,12,罐
傲滋DHA藻油凝胶糖果0.75克*45粒,1,4,1,4.2,糖果,糖果,DHA,33.75,24,盒
彤臻米粉试用装-原味10g*1袋,2,1,0,0,米粉,经典,纯米粉,10,200,袋
傲滋水苏糖固体饮料试用装,1,1,0,0,粉剂,益生元,水苏糖,2,200,袋
傲滋U哺有机营养米粉-钙铁锌320g,1,1,1,1.2,米粉,U哺,钙铁锌,320,12,罐
傲滋有机小米粉原味300g,1,1,1,1.2,米粉,小米粉,原味,300,12,罐
傲滋U哺有机营养米粉-胡萝卜320g,1,1,1,1.2,米粉,U哺,胡萝卜,320,12,罐
傲滋有机汤米原味试用装10g,1,1,0,0,米粉,汤米粉,原味,10,200,袋
傲滋苹果宝清宁固体饮料盒装6g*26袋,1,3,1,3.1,粉剂,宝清宁,苹果,156,24,盒
彤臻有机营养米粉钙铁锌460g,2,1,1,0,米粉,经典,钙铁锌,460,12,罐
彤臻有机营养米粉淮山薏米225g,2,1,1,0,米粉,经典,淮山薏米,225,24,盒
彤臻DHA藻油凝胶糖果0.75克*90粒(礼盒）,2,4,1,0,糖果,DHA,DHA,67.5,12,盒
彤臻有机营养米粉双歧因子460g,2,1,1,0,米粉,经典,双歧因子,460,12,罐
傲滋儿童营养复合锌固体饮料3g*20袋,1,3,1,3.2,粉剂,饮料,锌,120,48,盒
彤臻有机营养米粉纯米粉225g,2,1,1,0,米粉,经典,纯米粉,225,24,盒
彤臻有机泡芙-原味50克/瓶,2,6,1,0,零食,泡芙,原味,50,36,瓶
彤臻有机营养米粉纯米粉460g,2,1,1,0,米粉,经典,纯米粉,460,12,罐
傲滋U哺有机营养米粉-核桃粉180g,1,1,1,1.1,米粉,U哺,核桃粉,180,24,盒
彤臻有机营养米粉钙铁锌225g,2,1,1,0,米粉,经典,钙铁锌,225,24,盒
彤臻有机营养米粉燕麦南瓜225g,2,1,1,0,米粉,经典,燕麦南瓜,225,24,盒
傲滋儿童营养复合铁固体饮料3g*20袋,1,3,1,3.2,粉剂,饮料,铁,120,48,盒
彤臻有机营养米粉双歧因子225g,2,1,1,0,米粉,经典,双歧因子,225,24,盒
傲滋儿童营养复合钙固体饮料6g*20袋,1,3,1,3.2,粉剂,饮料,钙,120,48,盒
傲滋有机小米粉双歧因子300g,1,1,1,1.2,米粉,小米粉,双歧因子,300,12,罐
傲滋液体钙软胶囊1450mg*15粒*3板,1,8,1,0,糖果,钙,液体钙,65.25,36,盒
傲滋有机小米粉DHA＋ARA 300g,1,1,1,1.2,米粉,小米粉,DHA+ARA,300,12,罐
彤臻乳钙凝胶糖果1.4克*30粒,2,4,1,0,糖果,钙,乳钙,42,36,盒
傲滋有机小米粉果蔬多维300g,1,1,1,1.2,米粉,小米粉,果蔬多维,300,12,罐
彤臻有机营养米粉胡萝卜225g,2,1,1,0,米粉,经典,胡萝卜,225,24,盒
彤臻有机营养米粉高蛋白460g,2,1,1,0,米粉,经典,高蛋白,460,12,罐
彤臻有机营养米粉复合维生素225g,2,1,1,0,米粉,经典,复合维生素,225,24,盒
彤臻有机营养米粉高蛋白225g,2,1,1,0,米粉,经典,高蛋白,225,24,盒
傲滋益生元葡萄糖试用装,99,99,99,99,99,葡萄糖,益生元,5,1,袋
彤臻有机营养米粉核桃粉460g,2,1,1,0,米粉,经典,核桃粉,460,12,罐
彤臻有机营养米粉黑米红枣225g,2,1,1,0,米粉,经典,黑米红枣,225,24,盒
彤臻有机溶豆蓝莓味,2,5,1,0,零食,溶豆,蓝莓,16,36,盒
彤臻有机溶豆苹果味,2,5,1,0,零食,溶豆,苹果,16,36,盒
彤臻有机泡芙-DHA50克/瓶,2,6,1,0,零食,泡芙,DHA,50,36,瓶
彤臻有机溶豆胡萝卜味,2,5,1,0,零食,溶豆,胡萝卜,16,36,盒
彤臻有机溶豆原味,2,5,1,0,零食,溶豆,原,16,36,盒
彤臻有机营养米粉胡萝卜460g,2,1,1,0,米粉,经典,胡萝卜,460,12,罐
彤臻有机泡芙-草莓味50克/瓶,2,6,1,0,零食,泡芙,草莓,50,36,瓶
傲滋U哺有机营养米粉-钙铁锌180g,1,1,1,1.1,米粉,U哺,钙铁锌,180,24,盒
彤臻益生源益生菌固体饮料（大）,2,9,1,0,粉剂,益生菌,益生菌,45,24,盒
傲滋U哺有机营养米粉-淮山薏米320g,1,1,1,1.2,米粉,U哺,淮山薏米,320,12,罐
傲滋U哺有机营养米粉-黑米红枣320g,1,1,1,1.2,米粉,U哺,黑米红枣,320,12,罐
傲滋U哺有机营养米粉-燕麦南瓜320g,1,1,1,1.2,米粉,U哺,燕麦南瓜,320,12,罐
傲滋有机溶豆蓝莓味试用装2粒/袋,1,5,0,0,零食,溶豆,蓝莓,0.35,250,袋
傲滋有机泡芙-草莓味50克/瓶,1,6,1,6.1,零食,泡芙,草莓,50,36,瓶
傲滋有机小米粉五谷杂粮300g,99,99,99,99,99,小米粉,五谷杂粮,300,12,罐
傲滋牛初乳复合蛋白质粉固体饮料（罐）,99,99,99,99,99,蛋白质,牛初乳,360,12,罐
傲滋有机营养米粉西兰花藕粉225g,99,99,99,99,99,经典,西兰花藕粉,225,24,盒
傲滋多种维生素钙片1.2g*12片*5板,99,99,99,99,99,钙,维生素,156,24,盒
傲滋U哺有机营养米粉-高蛋白180g,1,1,1,1.1,米粉,U哺,高蛋白,180,24,盒
傲滋U哺有机营养米粉-黑米红枣180g,1,1,1,1.1,米粉,U哺,黑米红枣,180,24,盒
彤臻原味宝清宁固体饮料罐装,2,3,1,0,粉剂,饮料,宝清宁,180,24,罐
傲滋有机营养米粉玉米225g,99,99,99,99,99,经典,玉米,225,24,盒
彤臻雪梨宝清宁固体饮料罐装,2,3,1,0,粉剂,饮料,宝清宁,180,24,罐
傲滋U哺有机营养米粉-高蛋白320g,1,1,1,1.2,米粉,U哺,高蛋白,320,12,罐
傲滋有机小米原味试用装10g,1,1,0,0,米粉,小米粉,原味,10,200,袋
傲滋U哺有机营养米粉-淮山薏米180g,1,1,1,1.1,米粉,U哺,淮山薏米,180,24,盒
傲滋益生源益生菌固体饮料（大）1g*20袋,99,99,99,99,99,益生菌,益生菌,20,12,盒
傲滋U哺原味试用装10g,1,1,0,0,米粉,U哺,原味,10,200,袋
傲滋无水葡萄糖400g,99,99,99,99,99,葡萄糖,无水,500,24,罐
傲滋宝清宁植物固体饮料罐装6g*42袋,99,99,99,99,99,宝清宁,原味,252,12,罐
傲滋益生源益生菌固体饮料(小）1g*6袋,99,99,99,99,99,益生菌,益生菌,6,24,盒
傲滋有机溶豆胡萝卜味试用装2粒/袋,1,5,0,0,零食,溶豆,胡萝卜,0.4,250,袋
傲滋低聚果糖复合蛋白质粉固体饮料（罐）,99,99,99,99,99,蛋白质,低聚果糖,360,12,罐
傲滋U哺有机营养米粉DHA+ARA180g,1,1,1,1.1,米粉,U哺,DHA+ARA,180,24,盒
傲滋有机溶豆原味试用装2粒/袋,1,5,0,0,零食,溶豆,原,0.35,250,袋
傲滋U哺有机营养米粉缤纷水果180g,1,1,1,1.1,米粉,U哺,缤纷水果,180,24,盒
傲滋乳钙凝胶糖果试用装2粒,1,4,0,0,糖果,钙,乳钙,2.8,1200,袋
傲滋儿童营养复合铁固体饮料试用装,99,99,99,99,99,饮料,铁,3,1,袋
傲滋有机汤米粉原味赠品装40g,99,99,99,99,99,汤米粉,原味,40,48,罐
傲滋儿童营养复合锌固体饮料试用装,99,99,99,99,99,饮料,锌,3,1,袋
傲滋有机汤米粉钙铁锌赠品装40g,99,99,99,99,99,汤米粉,钙铁锌,40,48,罐
彤臻有机溶豆胡萝卜味试用装,2,5,0,0,零食,溶豆,胡萝卜,0.4,250,袋
彤臻有机溶豆苹果味试用装,2,5,0,0,零食,溶豆,苹果,0.4,250,袋
彤臻有机溶豆蓝莓味试用装,2,5,0,0,零食,溶豆,蓝莓,0.35,250,袋
傲滋有机小米粉钙铁锌赠品装40g,99,99,99,99,99,小米粉,钙铁锌,40,48,罐
傲滋U哺有机营养米粉牛肉蕃茄180g,1,1,1,1.1,米粉,U哺,牛肉番茄,180,24,盒
傲滋有机汤米钙铁锌试用装10g,1,1,0,0,米粉,汤米粉,钙铁锌,10,200,袋
彤臻益生源益生菌固体饮料1g*30袋,99,99,99,99,99,益生菌,益生菌,45,24,盒
傲滋鳕鱼肝油软胶囊500mg*10粒*3板,1,8,1,8.1,糖果,糖果,钙,15,24,盒
傲滋福仔牌钙滴剂60ml/瓶,1,10,1,10.1,营养素,滴剂,钙,60,24,盒
傲滋福仔牌锌滴剂30ml/瓶,1,10,1,10.1,营养素,滴剂,钙,30,24,盒
傲滋福仔牌铁滴剂30ml/瓶,1,10,1,10.1,营养素,滴剂,钙,30,24,盒
傲滋福仔牌维C滴剂30ml/瓶,1,10,1,10.1,营养素,滴剂,钙,30,24,盒
傲滋福仔牌维D滴剂30ml/瓶,1,10,1,10.1,营养素,滴剂,钙,30,24,盒
